Iteration 1: Best shielding time = 0.539 s, par_id = 1, theta = 356.019°, v = 126.826 m/s, t_deploy = 0.081 s, delay = 0.539 s
Iteration 501: Best shielding time = 0.000 s, par_id = 3, theta = 105.742°, v = 109.013 m/s, t_deploy = 29.348 s, delay = 0.532 s
Iteration 502: Best shielding time = 0.000 s, par_id = 3, theta = 109.137°, v = 110.733 m/s, t_deploy = 28.585 s, delay = 0.283 s
Iteration 503: Best shielding time = 0.995 s, par_id = 3, theta = 103.485°, v = 112.662 m/s, t_deploy = 25.806 s, delay = 2.346 s
Iteration 504: Best shielding time = 0.995 s, par_id = 3, theta = 103.485°, v = 112.662 m/s, t_deploy = 25.806 s, delay = 2.346 s
Iteration 505: Best shielding time = 0.995 s, par_id = 3, theta = 103.485°, v = 112.662 m/s, t_deploy = 25.806 s, delay = 2.346 s
Iteration 506: Best shielding time = 0.995 s, par_id = 3, theta = 103.485°, v = 112.662 m/s, t_deploy = 25.806 s, delay = 2.346 s
Iteration 507: Best shielding time = 3.002 s, par_id = 3, theta = 101.078°, v = 115.265 m/s, t_deploy = 25.162 s, delay = 1.967 s
Iteration 508: Best shielding time = 3.002 s, par_id = 3, theta = 101.078°, v = 115.265 m/s, t_deploy = 25.162 s, delay = 1.967 s
Iteration 509: Best shielding time = 3.002 s, par_id = 3, theta = 101.078°, v = 115.265 m/s, t_deploy = 25.162 s, delay = 1.967 s
Iteration 510: Best shielding time = 3.002 s, par_id = 3, theta = 101.078°, v = 115.265 m/s, t_deploy = 25.162 s, delay = 1.967 s
Iteration 511: Best shielding time = 0.000 s, par_id = 3, theta = 103.672°, v = 118.712 m/s, t_deploy = 24.776 s, delay = 2.464 s
Iteration 512: Best shielding time = 0.000 s, par_id = 3, theta = 103.672°, v = 118.712 m/s, t_deploy = 24.776 s, delay = 2.464 s
Iteration 513: Best shielding time = 0.026 s, par_id = 3, theta = 108.178°, v = 132.368 m/s, t_deploy = 24.135 s, delay = 0.465 s
Iteration 514: Best shielding time = 0.026 s, par_id = 3, theta = 108.178°, v = 132.368 m/s, t_deploy = 24.135 s, delay = 0.465 s
Iteration 515: Best shielding time = 0.026 s, par_id = 3, theta = 108.178°, v = 132.368 m/s, t_deploy = 24.135 s, delay = 0.465 s
Iteration 516: Best shielding time = 0.026 s, par_id = 3, theta = 108.178°, v = 132.368 m/s, t_deploy = 24.135 s, delay = 0.465 s
Iteration 517: Best shielding time = 0.026 s, par_id = 3, theta = 108.178°, v = 132.368 m/s, t_deploy = 24.135 s, delay = 0.465 s
Iteration 518: Best shielding time = 0.652 s, par_id = 3, theta = 98.410°, v = 120.290 m/s, t_deploy = 22.714 s, delay = 3.207 s
Iteration 519: Best shielding time = 0.652 s, par_id = 3, theta = 98.410°, v = 120.290 m/s, t_deploy = 22.714 s, delay = 3.207 s
Iteration 520: Best shielding time = 0.652 s, par_id = 3, theta = 98.410°, v = 120.290 m/s, t_deploy = 22.714 s, delay = 3.207 s
Iteration 521: Best shielding time = 0.000 s, par_id = 3, theta = 60.256°, v = 99.183 m/s, t_deploy = 26.337 s, delay = 7.482 s
Iteration 522: Best shielding time = 0.000 s, par_id = 3, theta = 60.256°, v = 99.183 m/s, t_deploy = 26.337 s, delay = 7.482 s
Iteration 523: Best shielding time = 0.000 s, par_id = 3, theta = 60.256°, v = 99.183 m/s, t_deploy = 26.337 s, delay = 7.482 s
Iteration 524: Best shielding time = 0.000 s, par_id = 3, theta = 60.256°, v = 99.183 m/s, t_deploy = 26.337 s, delay = 7.482 s
Iteration 525: Best shielding time = 2.059 s, par_id = 3, theta = 65.469°, v = 110.361 m/s, t_deploy = 24.132 s, delay = 6.256 s
Iteration 526: Best shielding time = 2.059 s, par_id = 3, theta = 65.469°, v = 110.361 m/s, t_deploy = 24.132 s, delay = 6.256 s
Iteration 527: Best shielding time = 2.059 s, par_id = 3, theta = 65.469°, v = 110.361 m/s, t_deploy = 24.132 s, delay = 6.256 s
Iteration 528: Best shielding time = 2.059 s, par_id = 3, theta = 65.469°, v = 110.361 m/s, t_deploy = 24.132 s, delay = 6.256 s
Iteration 529: Best shielding time = 2.059 s, par_id = 3, theta = 65.469°, v = 110.361 m/s, t_deploy = 24.132 s, delay = 6.256 s
Iteration 530: Best shielding time = 2.059 s, par_id = 3, theta = 65.469°, v = 110.361 m/s, t_deploy = 24.132 s, delay = 6.256 s
Iteration 531: Best shielding time = 2.041 s, par_id = 3, theta = 93.176°, v = 98.880 m/s, t_deploy = 27.217 s, delay = 3.831 s
Iteration 532: Best shielding time = 2.245 s, par_id = 3, theta = 93.000°, v = 95.956 m/s, t_deploy = 28.493 s, delay = 3.092 s
Iteration 533: Best shielding time = 2.245 s, par_id = 3, theta = 93.000°, v = 95.956 m/s, t_deploy = 28.493 s, delay = 3.092 s
Iteration 534: Best shielding time = 2.245 s, par_id = 3, theta = 93.000°, v = 95.956 m/s, t_deploy = 28.493 s, delay = 3.092 s
Iteration 535: Best shielding time = 2.245 s, par_id = 3, theta = 93.000°, v = 95.956 m/s, t_deploy = 28.493 s, delay = 3.092 s
Iteration 536: Best shielding time = 2.245 s, par_id = 3, theta = 93.000°, v = 95.956 m/s, t_deploy = 28.493 s, delay = 3.092 s
Iteration 537: Best shielding time = 2.245 s, par_id = 3, theta = 93.000°, v = 95.956 m/s, t_deploy = 28.493 s, delay = 3.092 s
Iteration 538: Best shielding time = 2.245 s, par_id = 3, theta = 93.000°, v = 95.956 m/s, t_deploy = 28.493 s, delay = 3.092 s
Iteration 539: Best shielding time = 2.245 s, par_id = 3, theta = 93.000°, v = 95.956 m/s, t_deploy = 28.493 s, delay = 3.092 s
Iteration 540: Best shielding time = 2.245 s, par_id = 3, theta = 93.000°, v = 95.956 m/s, t_deploy = 28.493 s, delay = 3.092 s
Iteration 541: Best shielding time = 0.000 s, par_id = 3, theta = 66.694°, v = 97.265 m/s, t_deploy = 27.340 s, delay = 5.483 s
Iteration 542: Best shielding time = 0.000 s, par_id = 3, theta = 66.694°, v = 97.265 m/s, t_deploy = 27.340 s, delay = 5.483 s
Iteration 543: Best shielding time = 0.000 s, par_id = 3, theta = 88.765°, v = 108.498 m/s, t_deploy = 26.184 s, delay = 2.194 s
Iteration 544: Best shielding time = 2.100 s, par_id = 3, theta = 98.505°, v = 118.605 m/s, t_deploy = 24.862 s, delay = 0.819 s
Iteration 545: Best shielding time = 2.100 s, par_id = 3, theta = 98.505°, v = 118.605 m/s, t_deploy = 24.862 s, delay = 0.819 s
Iteration 546: Best shielding time = 2.914 s, par_id = 3, theta = 99.625°, v = 116.424 m/s, t_deploy = 24.378 s, delay = 2.349 s
Iteration 547: Best shielding time = 2.914 s, par_id = 3, theta = 99.625°, v = 116.424 m/s, t_deploy = 24.378 s, delay = 2.349 s
Iteration 548: Best shielding time = 2.914 s, par_id = 3, theta = 99.625°, v = 116.424 m/s, t_deploy = 24.378 s, delay = 2.349 s
Iteration 549: Best shielding time = 2.914 s, par_id = 3, theta = 99.625°, v = 116.424 m/s, t_deploy = 24.378 s, delay = 2.349 s
Iteration 550: Best shielding time = 2.914 s, par_id = 3, theta = 99.625°, v = 116.424 m/s, t_deploy = 24.378 s, delay = 2.349 s
Iteration 551: Best shielding time = 2.478 s, par_id = 3, theta = 92.538°, v = 117.917 m/s, t_deploy = 22.814 s, delay = 3.059 s
Iteration 552: Best shielding time = 2.478 s, par_id = 3, theta = 92.538°, v = 117.917 m/s, t_deploy = 22.814 s, delay = 3.059 s
Iteration 553: Best shielding time = 2.478 s, par_id = 3, theta = 92.538°, v = 117.917 m/s, t_deploy = 22.814 s, delay = 3.059 s
Iteration 554: Best shielding time = 2.478 s, par_id = 3, theta = 92.538°, v = 117.917 m/s, t_deploy = 22.814 s, delay = 3.059 s
Iteration 555: Best shielding time = 2.478 s, par_id = 3, theta = 92.538°, v = 117.917 m/s, t_deploy = 22.814 s, delay = 3.059 s
Iteration 556: Best shielding time = 2.478 s, par_id = 3, theta = 92.538°, v = 117.917 m/s, t_deploy = 22.814 s, delay = 3.059 s
Iteration 557: Best shielding time = 2.478 s, par_id = 3, theta = 92.538°, v = 117.917 m/s, t_deploy = 22.814 s, delay = 3.059 s
Iteration 558: Best shielding time = 2.478 s, par_id = 3, theta = 92.538°, v = 117.917 m/s, t_deploy = 22.814 s, delay = 3.059 s
Iteration 559: Best shielding time = 2.296 s, par_id = 3, theta = 94.012°, v = 119.164 m/s, t_deploy = 23.228 s, delay = 2.241 s
Iteration 560: Best shielding time = 2.296 s, par_id = 3, theta = 94.012°, v = 119.164 m/s, t_deploy = 23.228 s, delay = 2.241 s
Iteration 561: Best shielding time = 0.000 s, par_id = 3, theta = 64.594°, v = 102.142 m/s, t_deploy = 25.504 s, delay = 6.899 s
Iteration 562: Best shielding time = 0.000 s, par_id = 3, theta = 98.028°, v = 112.998 m/s, t_deploy = 25.853 s, delay = 1.393 s
Iteration 563: Best shielding time = 0.000 s, par_id = 3, theta = 98.028°, v = 112.998 m/s, t_deploy = 25.853 s, delay = 1.393 s
Iteration 564: Best shielding time = 0.000 s, par_id = 3, theta = 98.028°, v = 112.998 m/s, t_deploy = 25.853 s, delay = 1.393 s
Iteration 565: Best shielding time = 0.000 s, par_id = 3, theta = 98.028°, v = 112.998 m/s, t_deploy = 25.853 s, delay = 1.393 s
Iteration 566: Best shielding time = 0.000 s, par_id = 3, theta = 98.028°, v = 112.998 m/s, t_deploy = 25.853 s, delay = 1.393 s
Iteration 567: Best shielding time = 0.000 s, par_id = 3, theta = 98.028°, v = 112.998 m/s, t_deploy = 25.853 s, delay = 1.393 s
Iteration 568: Best shielding time = 0.000 s, par_id = 3, theta = 98.028°, v = 112.998 m/s, t_deploy = 25.853 s, delay = 1.393 s
Iteration 569: Best shielding time = 0.759 s, par_id = 3, theta = 101.596°, v = 115.013 m/s, t_deploy = 26.396 s, delay = 0.426 s
Iteration 570: Best shielding time = 1.305 s, par_id = 3, theta = 101.279°, v = 113.137 m/s, t_deploy = 26.627 s, delay = 0.586 s
Iteration 571: Best shielding time = 0.000 s, par_id = 3, theta = 106.021°, v = 118.964 m/s, t_deploy = 25.304 s, delay = 0.926 s
Iteration 572: Best shielding time = 0.000 s, par_id = 3, theta = 106.021°, v = 118.964 m/s, t_deploy = 25.304 s, delay = 0.926 s
Iteration 573: Best shielding time = 2.202 s, par_id = 3, theta = 98.884°, v = 109.620 m/s, t_deploy = 26.749 s, delay = 1.225 s
Iteration 574: Best shielding time = 2.202 s, par_id = 3, theta = 98.884°, v = 109.620 m/s, t_deploy = 26.749 s, delay = 1.225 s
Iteration 575: Best shielding time = 2.202 s, par_id = 3, theta = 98.884°, v = 109.620 m/s, t_deploy = 26.749 s, delay = 1.225 s
Iteration 576: Best shielding time = 2.223 s, par_id = 3, theta = 98.174°, v = 109.372 m/s, t_deploy = 26.557 s, delay = 1.372 s
Iteration 577: Best shielding time = 2.223 s, par_id = 3, theta = 98.174°, v = 109.372 m/s, t_deploy = 26.557 s, delay = 1.372 s
Iteration 578: Best shielding time = 2.223 s, par_id = 3, theta = 98.174°, v = 109.372 m/s, t_deploy = 26.557 s, delay = 1.372 s
Iteration 579: Best shielding time = 2.223 s, par_id = 3, theta = 98.174°, v = 109.372 m/s, t_deploy = 26.557 s, delay = 1.372 s
Iteration 580: Best shielding time = 2.223 s, par_id = 3, theta = 98.174°, v = 109.372 m/s, t_deploy = 26.557 s, delay = 1.372 s
Iteration 581: Best shielding time = 0.000 s, par_id = 3, theta = 68.523°, v = 94.961 m/s, t_deploy = 28.900 s, delay = 5.510 s
Iteration 582: Best shielding time = 0.000 s, par_id = 3, theta = 68.523°, v = 94.961 m/s, t_deploy = 28.900 s, delay = 5.510 s
Iteration 583: Best shielding time = 0.000 s, par_id = 3, theta = 68.523°, v = 94.961 m/s, t_deploy = 28.900 s, delay = 5.510 s
Iteration 584: Best shielding time = 0.000 s, par_id = 3, theta = 74.133°, v = 90.207 m/s, t_deploy = 29.054 s, delay = 6.488 s
Iteration 585: Best shielding time = 0.000 s, par_id = 3, theta = 74.133°, v = 90.207 m/s, t_deploy = 29.054 s, delay = 6.488 s
Iteration 586: Best shielding time = 0.000 s, par_id = 3, theta = 72.822°, v = 100.259 m/s, t_deploy = 25.741 s, delay = 6.515 s
Iteration 587: Best shielding time = 0.000 s, par_id = 3, theta = 72.822°, v = 100.259 m/s, t_deploy = 25.741 s, delay = 6.515 s
Iteration 588: Best shielding time = 0.000 s, par_id = 3, theta = 75.461°, v = 101.455 m/s, t_deploy = 25.369 s, delay = 6.273 s
Iteration 589: Best shielding time = 1.979 s, par_id = 3, theta = 91.303°, v = 96.046 m/s, t_deploy = 27.790 s, delay = 4.297 s
Iteration 590: Best shielding time = 1.979 s, par_id = 3, theta = 91.303°, v = 96.046 m/s, t_deploy = 27.790 s, delay = 4.297 s
Iteration 591: Best shielding time = 0.000 s, par_id = 3, theta = 97.341°, v = 126.201 m/s, t_deploy = 21.142 s, delay = 3.422 s
Iteration 592: Best shielding time = 0.000 s, par_id = 3, theta = 97.341°, v = 126.201 m/s, t_deploy = 21.142 s, delay = 3.422 s
Iteration 593: Best shielding time = 0.000 s, par_id = 3, theta = 97.341°, v = 126.201 m/s, t_deploy = 21.142 s, delay = 3.422 s
Iteration 594: Best shielding time = 0.000 s, par_id = 3, theta = 89.577°, v = 123.048 m/s, t_deploy = 21.435 s, delay = 3.050 s
Iteration 595: Best shielding time = 0.000 s, par_id = 3, theta = 89.577°, v = 123.048 m/s, t_deploy = 21.435 s, delay = 3.050 s
Iteration 596: Best shielding time = 1.550 s, par_id = 3, theta = 88.514°, v = 129.557 m/s, t_deploy = 20.332 s, delay = 3.101 s
Iteration 597: Best shielding time = 1.550 s, par_id = 3, theta = 88.514°, v = 129.557 m/s, t_deploy = 20.332 s, delay = 3.101 s
Iteration 598: Best shielding time = 1.550 s, par_id = 3, theta = 88.514°, v = 129.557 m/s, t_deploy = 20.332 s, delay = 3.101 s
Iteration 599: Best shielding time = 1.550 s, par_id = 3, theta = 88.514°, v = 129.557 m/s, t_deploy = 20.332 s, delay = 3.101 s
Iteration 600: Best shielding time = 1.550 s, par_id = 3, theta = 88.514°, v = 129.557 m/s, t_deploy = 20.332 s, delay = 3.101 s
Iteration 601: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 602: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 603: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 604: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 605: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 606: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 607: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 608: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 609: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 610: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 611: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 612: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 613: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 614: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 615: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 616: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 617: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 618: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 619: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 620: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 621: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 622: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 623: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 624: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 625: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 626: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 627: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 628: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 629: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 630: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 631: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 632: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 633: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 634: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 635: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 636: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 637: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 638: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 639: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 640: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 641: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 642: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 643: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 644: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 645: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 646: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 647: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 648: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 649: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 650: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 651: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 652: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 653: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 654: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 655: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 656: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 657: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 658: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 659: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 660: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 661: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 662: Best shielding time = 9.548 s, theta1 = 0.853°, v1 = 104.767 m/s, t_deploy1 = 0.365 s, delay1 = 3.014 s
Iteration 663: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 664: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 665: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 666: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 667: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 668: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 669: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 670: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 671: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 672: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 673: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 674: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 675: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 676: Best shielding time = 9.664 s, theta1 = 1.781°, v1 = 78.517 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 677: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 678: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 679: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 680: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 681: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 682: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 683: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 684: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 685: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 686: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 687: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 688: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 689: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 690: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 691: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 692: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 693: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
Iteration 694: Best shielding time = 10.483 s, theta1 = 2.974°, v1 = 82.385 m/s, t_deploy1 = 0.092 s, delay1 = 2.421 s
